<frozen importlib._bootstrap>:241: RuntimeWarning: to-Python converter for std::vector<Eigen::Matrix<double, 3, 1, 0, 3, 1>, std::allocator<Eigen::Matrix<double, 3, 1, 0, 3, 1> > > already registered; second conversion method ignored.
<frozen importlib._bootstrap>:241: RuntimeWarning: to-Python converter for boost::python::detail::container_element<std::vector<Eigen::Matrix<double, 3, 1, 0, 3, 1>, std::allocator<Eigen::Matrix<double, 3, 1, 0, 3, 1> > >, unsigned long, boost::python::detail::final_vector_derived_policies<std::vector<Eigen::Matrix<double, 3, 1, 0, 3, 1>, std::allocator<Eigen::Matrix<double, 3, 1, 0, 3, 1> > >, false> > already registered; second conversion method ignored.
<frozen importlib._bootstrap>:241: RuntimeWarning: to-Python converter for std::vector<int, std::allocator<int> > already registered; second conversion method ignored.
<frozen importlib._bootstrap>:241: RuntimeWarning: to-Python converter for std::vector<double, std::allocator<double> > already registered; second conversion method ignored.
<frozen importlib._bootstrap>:241: RuntimeWarning: to-Python converter for std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > already registered; second conversion method ignored.
WARNING: Can't find trunk frames in the model, can't measure leg spacing
WARNING: Can't find head frames in the model, camera_look_at won't work
gait_parameters {'dx': 0.02, 'dy': -0.03, 'dtheta': 0.01, 'duration': 8, 'hardware': True, 'double_support_ratio': 0.8, 'startend_double_support_ratio': 1.5, 'planned_timesteps': 48, 'replan_timesteps': 10, 'walk_com_height': 0.445, 'walk_foot_height': 0.03, 'walk_trunk_pitch': -5.7, 'walk_foot_rise_ratio': 0.2, 'single_support_duration': 0.8, 'single_support_timesteps': 10, 'foot_length': 0.22, 'feet_spacing': 0.114, 'zmp_margin': 0.02, 'foot_zmp_target_x': 0.0, 'foot_zmp_target_y': 0.0, 'walk_max_dtheta': 1.0, 'walk_max_dy': 0.04, 'walk_max_dx_forward': 0.08, 'walk_max_dx_backward': 0.03, 'joints': ['leg_left_ankle_roll_joint', 'leg_left_ankle_pitch_joint', 'leg_left_knee_pitch_joint', 'leg_left_hip_pitch_joint', 'leg_left_hip_yaw_joint', 'leg_left_hip_roll_joint', 'leg_right_ankle_roll_joint', 'leg_right_ankle_pitch_joint', 'leg_right_knee_pitch_joint', 'leg_right_hip_pitch_joint', 'leg_right_hip_yaw_joint', 'leg_right_hip_roll_joint', 'left_wrist_attachment_joint', 'left_fore_arm_joint', 'left_upper_arm_joint', 'left_shoulder_joint', 'right_wrist_attachment_joint', 'right_fore_arm_joint', 'right_upper_arm_joint', 'right_shoulder_joint'], 'joint_angles': {'left_wrist_attachment_joint': 0, 'left_fore_arm_joint': -90, 'left_upper_arm_joint': 45, 'left_shoulder_joint': 0, 'right_wrist_attachment_joint': 0, 'right_fore_arm_joint': 90, 'right_upper_arm_joint': -45, 'right_shoulder_joint': 0}}
Placing the robot in the initial position...
Initial position reached
{'leg_left_ankle_roll_joint': 0.017455204851373442, 'leg_left_ankle_pitch_joint': -0.48776765634454233, 'leg_left_knee_pitch_joint': 0.9348913145022472, 'leg_left_hip_pitch_joint': -0.3481824243461779, 'leg_left_hip_yaw_joint': -0.054970195873362444, 'leg_left_hip_roll_joint': -0.011073632945358814, 'leg_right_ankle_roll_joint': 0.018086422393064197, 'leg_right_ankle_pitch_joint': -0.5131081647962497, 'leg_right_knee_pitch_joint': 1.0184507331504873, 'leg_right_hip_pitch_joint': -0.40641816032171557, 'leg_right_hip_yaw_joint': -0.0554603158289661, 'leg_right_hip_roll_joint': -0.011479783765467972, 'left_wrist_attachment_joint': -0.09850801370871336, 'left_fore_arm_joint': -1.1158812932379916, 'left_upper_arm_joint': 0.7853981633896452, 'left_shoulder_joint': 6.168332115218559e-12, 'right_wrist_attachment_joint': 2.3235257613977917e-29, 'right_fore_arm_joint': 0.809422720756958, 'right_upper_arm_joint': -0.7853981633877999, 'right_shoulder_joint': 5.908859459932333e-12}
## period: 2.88
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07991
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07989
BAD root_position: -0.07989
BAD root_position: -0.07989
BAD root_position: -0.07988
BAD root_position: -0.07988
BAD root_position: -0.07989
BAD root_position: -0.07998
BAD root_position: -0.08015
BAD root_position: -0.08039
BAD root_position: -0.08069
BAD root_position: -0.08102
BAD root_position: -0.08138
BAD root_position: -0.08176
BAD root_position: -0.08214
BAD root_position: -0.08251
BAD root_position: -0.08285
BAD root_position: -0.08315
BAD root_position: -0.08341
BAD root_position: -0.08360
BAD root_position: -0.08371
BAD root_position: -0.08373
BAD root_position: -0.08373
BAD root_position: -0.08373
BAD root_position: -0.08373
BAD root_position: -0.08373
BAD root_position: -0.08373
BAD root_position: -0.08373
BAD root_position: -0.08373
BAD root_position: -0.08371
BAD root_position: -0.08360
BAD root_position: -0.08342
BAD root_position: -0.08317
BAD root_position: -0.08287
BAD root_position: -0.08252
BAD root_position: -0.08216
BAD root_position: -0.08178
BAD root_position: -0.08140
BAD root_position: -0.08104
BAD root_position: -0.08070
BAD root_position: -0.08041
BAD root_position: -0.08016
BAD root_position: -0.07999
BAD root_position: -0.07989
BAD root_position: -0.07988
BAD root_position: -0.07988
BAD root_position: -0.07988
BAD root_position: -0.07989
BAD root_position: -0.07989
BAD root_position: -0.07989
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07990
BAD root_position: -0.07989
BAD root_position: -0.07989
BAD root_position: -0.07989
BAD root_position: -0.07988
BAD root_position: -0.07988
BAD root_position: -0.07988
BAD root_position: -0.07987
BAD root_position: -0.07987
BAD root_position: -0.07987
BAD root_position: -0.07986
BAD root_position: -0.07986
BAD root_position: -0.07990
BAD root_position: -0.08003
BAD root_position: -0.08024
BAD root_position: -0.08051
BAD root_position: -0.08083
BAD root_position: -0.08119
BAD root_position: -0.08158
BAD root_position: -0.08197
BAD root_position: -0.08237
BAD root_position: -0.08275
BAD root_position: -0.08310
BAD root_position: -0.08340
BAD root_position: -0.08366
BAD root_position: -0.08384
BAD root_position: -0.08394
BAD root_position: -0.08396
BAD root_position: -0.08399
BAD root_position: -0.08401
BAD root_position: -0.08403
BAD root_position: -0.08405
BAD root_position: -0.08408
BAD root_position: -0.08410
BAD root_position: -0.08412
BAD root_position: -0.08408
BAD root_position: -0.08395
BAD root_position: -0.08375
BAD root_position: -0.08348
BAD root_position: -0.08316
BAD root_position: -0.08280
BAD root_position: -0.08242
BAD root_position: -0.08203
BAD root_position: -0.08165
BAD root_position: -0.08128
BAD root_position: -0.08095
BAD root_position: -0.08066
BAD root_position: -0.08042
BAD root_position: -0.08027
BAD root_position: -0.08020
BAD root_position: -0.08019
BAD root_position: -0.08017
BAD root_position: -0.08016
BAD root_position: -0.08015
BAD root_position: -0.08013
BAD root_position: -0.08012
BAD root_position: -0.08010
BAD root_position: -0.08008
BAD root_position: -0.08006
BAD root_position: -0.08004
BAD root_position: -0.08001
BAD root_position: -0.07999
BAD root_position: -0.07996
BAD root_position: -0.07994
BAD root_position: -0.07991
BAD root_position: -0.07988
BAD root_position: -0.07986
BAD root_position: -0.07983
BAD root_position: -0.07980
BAD root_position: -0.07977
BAD root_position: -0.07975
BAD root_position: -0.07972
BAD root_position: -0.07970
BAD root_position: -0.07967
BAD root_position: -0.07965
BAD root_position: -0.07963
BAD root_position: -0.07961
BAD root_position: -0.07959
BAD root_position: -0.07957
BAD root_position: -0.07956
BAD root_position: -0.07955
BAD root_position: -0.07959
BAD root_position: -0.07971
BAD root_position: -0.07990
BAD root_position: -0.08014
BAD root_position: -0.08043
BAD root_position: -0.08074
BAD root_position: -0.08108
BAD root_position: -0.08144
BAD root_position: -0.08179
BAD root_position: -0.08213
BAD root_position: -0.08245
BAD root_position: -0.08274
BAD root_position: -0.08298
BAD root_position: -0.08317
BAD root_position: -0.08329
BAD root_position: -0.08334
BAD root_position: -0.08336
BAD root_position: -0.08338
BAD root_position: -0.08340
BAD root_position: -0.08342
BAD root_position: -0.08344
BAD root_position: -0.08346
BAD root_position: -0.08348
BAD root_position: -0.08350
BAD root_position: -0.08346
BAD root_position: -0.08334
BAD root_position: -0.08316
BAD root_position: -0.08292
BAD root_position: -0.08264
BAD root_position: -0.08233
BAD root_position: -0.08199
BAD root_position: -0.08164
BAD root_position: -0.08129
BAD root_position: -0.08096
BAD root_position: -0.08064
BAD root_position: -0.08036
BAD root_position: -0.08013
BAD root_position: -0.07996
BAD root_position: -0.07985
BAD root_position: -0.07982
BAD root_position: -0.07982
BAD root_position: -0.07982
BAD root_position: -0.07982
BAD root_position: -0.07982
BAD root_position: -0.07982
BAD root_position: -0.07983
BAD root_position: -0.07983
BAD root_position: -0.07983
BAD root_position: -0.07983
BAD root_position: -0.07983
BAD root_position: -0.07984
BAD root_position: -0.07984
BAD root_position: -0.07984
BAD root_position: -0.07984
BAD root_position: -0.07985
BAD root_position: -0.07985
BAD root_position: -0.07985
BAD root_position: -0.07985
BAD root_position: -0.07985
BAD root_position: -0.07985
BAD root_position: -0.07986
BAD root_position: -0.07986
BAD root_position: -0.07986
BAD root_position: -0.07986
BAD root_position: -0.07986
BAD root_position: -0.07986
BAD root_position: -0.07986
BAD root_position: -0.07986
BAD root_position: -0.07986
BAD root_position: -0.07986
BAD root_position: -0.07986
BAD root_position: -0.07986
BAD root_position: -0.07992
BAD root_position: -0.08006
BAD root_position: -0.08027
BAD root_position: -0.08053
BAD root_position: -0.08084
BAD root_position: -0.08118
BAD root_position: -0.08155
BAD root_position: -0.08193
BAD root_position: -0.08230
BAD root_position: -0.08267
BAD root_position: -0.08301
BAD root_position: -0.08332
BAD root_position: -0.08359
BAD root_position: -0.08379
BAD root_position: -0.08392
BAD root_position: -0.08398
BAD root_position: -0.08400
BAD root_position: -0.08402
BAD root_position: -0.08405
BAD root_position: -0.08407
BAD root_position: -0.08409
BAD root_position: -0.08411
BAD root_position: -0.08414
BAD root_position: -0.08416
BAD root_position: -0.08411
BAD root_position: -0.08399
BAD root_position: -0.08379
BAD root_position: -0.08354
BAD root_position: -0.08324
BAD root_position: -0.08290
BAD root_position: -0.08254
BAD root_position: -0.08217
BAD root_position: -0.08180
BAD root_position: -0.08144
BAD root_position: -0.08110
BAD root_position: -0.08081
BAD root_position: -0.08055
BAD root_position: -0.08036
BAD root_position: -0.08024
BAD root_position: -0.08021
BAD root_position: -0.08020
BAD root_position: -0.08019
BAD root_position: -0.08017
BAD root_position: -0.08016
BAD root_position: -0.08015
BAD root_position: -0.08014
BAD root_position: -0.08012
BAD root_position: -0.08010
BAD root_position: -0.08009
BAD root_position: -0.08007
BAD root_position: -0.08005
BAD root_position: -0.08003
BAD root_position: -0.08000
BAD root_position: -0.07998
BAD root_position: -0.07996
BAD root_position: -0.07993
BAD root_position: -0.07990
BAD root_position: -0.07988
BAD root_position: -0.07985
BAD root_position: -0.07982
BAD root_position: -0.07979
BAD root_position: -0.07977
BAD root_position: -0.07974
BAD root_position: -0.07971
BAD root_position: -0.07969
BAD root_position: -0.07966
BAD root_position: -0.07964
BAD root_position: -0.07961
BAD root_position: -0.07959
BAD root_position: -0.07957
BAD root_position: -0.07955
BAD root_position: -0.07954
BAD root_position: -0.07958
BAD root_position: -0.07970
BAD root_position: -0.07988
BAD root_position: -0.08012
BAD root_position: -0.08040
BAD root_position: -0.08072
BAD root_position: -0.08106
BAD root_position: -0.08141
BAD root_position: -0.08176
BAD root_position: -0.08210
BAD root_position: -0.08242
BAD root_position: -0.08270
BAD root_position: -0.08295
BAD root_position: -0.08313
BAD root_position: -0.08325
BAD root_position: -0.08330
BAD root_position: -0.08332
BAD root_position: -0.08334
BAD root_position: -0.08336
BAD root_position: -0.08338
BAD root_position: -0.08340
BAD root_position: -0.08343
BAD root_position: -0.08345
BAD root_position: -0.08347
BAD root_position: -0.08343
BAD root_position: -0.08332
BAD root_position: -0.08314
BAD root_position: -0.08290
BAD root_position: -0.08263
BAD root_position: -0.08231
BAD root_position: -0.08198
BAD root_position: -0.08163
BAD root_position: -0.08126
BAD root_position: -0.08092
BAD root_position: -0.08061
BAD root_position: -0.08033
BAD root_position: -0.08010
BAD root_position: -0.07993
BAD root_position: -0.07982
BAD root_position: -0.07979
BAD root_position: -0.07979
BAD root_position: -0.07980
BAD root_position: -0.07980
BAD root_position: -0.07980
BAD root_position: -0.07980
BAD root_position: -0.07980
BAD root_position: -0.07981
BAD root_position: -0.07981
BAD root_position: -0.07982
BAD root_position: -0.07982
BAD root_position: -0.07982
BAD root_position: -0.07983
BAD root_position: -0.07983
BAD root_position: -0.07984
BAD root_position: -0.07984
BAD root_position: -0.07985
BAD root_position: -0.07985
BAD root_position: -0.07986
BAD root_position: -0.07986
BAD root_position: -0.07987
BAD root_position: -0.07987
BAD root_position: -0.07987
BAD root_position: -0.07988
BAD root_position: -0.07988
BAD root_position: -0.07988
BAD root_position: -0.07988
BAD root_position: -0.07988
BAD root_position: -0.07988
BAD root_position: -0.07989
BAD root_position: -0.07989
BAD root_position: -0.07989
BAD root_position: -0.07995
BAD root_position: -0.08010
BAD root_position: -0.08032
BAD root_position: -0.08060
BAD root_position: -0.08094
